Nome,Categoria,Duracao,Imagem
Além da Usurpadora,Novelas,42.51,https://s2.glbimg.com/CalHTn5MmdXgjv0h6hv9S5K86sI=/362x536/https://s2.glbimg.com/jqt3nAhH-XH-EUqIRmm3q9avQRw=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2021/H/8/oMKAOATPOCAABzf7RBBA/2021-2380-alem-da-usurpadora-poster.jpg
A Impostora,Novelas,49.42,https://br.web.img2.acsta.net/pictures/19/09/05/11/21/1120118.jpg
As Vinganças de Clara,Novelas,60.69,https://s2.glbimg.com/FYT1xZDOoYvxrEUXLvypG7vzd0k=/362x536/https://s2.glbimg.com/db5RiJ0wIHT2jrdQJY883u7qnjo=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2018/T/E/dOszYCSq2OrIZ7Tyg2tw/as-vingancas-de-clara-poster-web.jpg
Nos Tempos do Imperador,Novelas,38.43,https://br.web.img3.acsta.net/pictures/21/10/07/20/39/1369477.jpg
Vereda Tropical,Novelas,50.20,https://s2.glbimg.com/KvJB0WGbSUjBHn7j4e3tUav9rr4=/362x536/https://s2.glbimg.com/-jwVmdmsDvM-sGCoJwmzwIhws7w=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2021/H/y/0pPxjlTGeSEzRuUQO03w/2021-2287-vereda-tropical-poster.jpg
Caminho das Índias,Novelas,65.75,https://media.fstatic.com/K31hGi8gnRaH_jnyceJDqnE7R5U=/322x478/smart/filters:format(webp)/media/movies/covers/2022/04/2022-2785-caminho-das-indias-poster.jpg
Uga Uga,Novelas,55.60,https://s2.glbimg.com/-JL-QzGBLgJaysDKhR3Zqljk56I=/362x536/https://s2.glbimg.com/LDF0gJK4k98UyBtiXs5_GloQLEo=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2023/T/H/Lngp6FQzGkS4udiKg6SA/2023-3438-uga-uga-poster.jpg
Porto dos Milagres,Novelas,68.50,https://s2.glbimg.com/pnpiMZyjAhLgtKexYUh0RLPgPXc=/31x2:327x530/296x528/middle/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2021/W/K/u8jHb1SO65onbNo8bMTQ/porto-dos-milagres-2.png
Laços de Família – Vale a Pena Ver de Novo,Novelas,60.47,https://s2.glbimg.com/q-EQERBwUpJ2v2MKZri1TJlji7w=/362x536/https://s2.glbimg.com/InTnFrJJaYLP5ZSE8bG0vYhPxq0=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2020/C/T/JPt0dHRLCjZQnfKA3dlg/2020-1109-lacos-de-familia-poster.jpg
A Favorita,Novelas,73.77,https://geovannesolamini.files.wordpress.com/2021/01/globoplay-a-favorita.jpg?w=600
Pantanal,Novelas,74.40,https://cinema10.com.br/upload/series/series_3286_5613152.jpg-r_1280_720-f_jpg-q_x-xxyxx.jpg
A Viagem,Novelas,39.80,https://s2.glbimg.com/Vn_PDCaKNP-kNROVGQ2Zalxbi7U=/362x536/https://s2.glbimg.com/1tAzbWKNdqNVBZ-2uIaT09Bb3Rw=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2020/F/r/naAgZYSFG6shRzvpNAcw/2020-a-viagem-poster.jpg
Da Cor do Pecado,Novelas,51.34,https://s2.glbimg.com/SK2p9JOFoxsZ2tBjzW40cd9QCRc=/362x536/https://s2.glbimg.com/-bJdwRNGww_cwyEMKyLFiPxnOyI=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/a/G/L6mz0tROAH6BlTsINC4Q/2021-2614-da-cor-do-pecado-poster.jpg
"Quanto Mais Vida, Melhor!",Novelas,40.19,https://br.web.img2.acsta.net/pictures/22/01/11/20/19/4742067.jpg
Tieta,Novelas,47.47,https://s2.glbimg.com/Ubs0OQTy8KTgoCExY-OxIchzUgA=/362x536/https://s2.glbimg.com/YtSqzf4Snbk3QMvY83M6jqNEVaI=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2020/h/m/fE4aXFTUSNtuAWasjj4A/2020-933-tieta-poster.jpg
Era Uma Vez...,Novelas,41.70,https://s2.glbimg.com/hWrwm65GZifzgCVeTviWyEbBu_s=/362x536/https://s2.glbimg.com/iU1foPppfSUXAberLI15TANxr0M=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2021/z/X/dmW4bETBCtDqHjN9N69g/2020-2128-era-uma-vez-poster.jpg
Aquele Beijo,Novelas,49.41,https://media.fstatic.com/FxlLLcZVamGi6EyhR_rReFTalI4=/210x312/smart/filters:format(webp)/media/movies/covers/2015/11/aquele-beijo_t41533.jpg
